년(Annual),승용,승용,승용,승용,승합,승합,승합,승합,화물,화물,화물,화물,특수,특수,특수,특수,총계,총계,총계,총계
년(Annual),관용,자가용,영업용,계,관용,자가용,영업용,계,관용,자가용,영업용,계,관용,자가용,영업용,계,관용,자가용,영업용,계
2024,36,466,20,425,766,1,308,888,21,771,120,24,862,527,105,114,199,666,166,35,531,3,211,951,469,261,3,716,743,3,876,71,804,68,210,143,890,100,735,24,236,626,1,960,558,26,297,919
